State,State_code
Total,TT
Andaman and Nicobar Islands,AN
Andhra Pradesh,AP
Arunachal Pradesh,AR
Assam,AS
Bihar,BR
Chandigarh,CH
Chhattisgarh,CT
Dadra and Nagar Haveli and Daman and Diu,DD
Delhi,DL
Goa,GA
Gujarat,GJ
Himachal Pradesh,HP
Haryana,HR
Jharkhand,JH
Jammu and Kashmir,JK
Karnataka,KA
Kerala,KL
Ladakh,LA
Lakshadweep,LD
Maharashtra,MH
Meghalaya,ML
Manipur,MN
Madhya Pradesh,MP
Mizoram,MZ
Nagaland,NL
Odisha,OR
Punjab,PB
Puducherry,PY
Rajasthan,RJ
Sikkim,SK
Telangana,TG
Tamil Nadu,TN
Tripura,TR
State Unassigned,UN
Uttar Pradesh,UP
Uttarakhand,UT
West Bengal,WB
